Orignal article #	Authors	Title	Journal	Year	Division	Bryophyte Type	Symbiont Type	Symbiont Code
2	Ackermann, Kathrin; Zackrisson, Olle; Rousk, Johannes; Jones, David L.; DeLuca, Thomas H.	N-2 Fixation in Feather Mosses is a Sensitive Indicator of N Deposition in Boreal Forests	ECOSYSTEMS	2012	Bryophyta	Moss	Diazotrophs	Diazotrophs
9	Akther, Hasna; Rousk, Kathrin	High heavy metal load does not inhibit nitrogen fixation in moss-cyanobacteria associations	ECOTOXICOLOGY	2019	Bryophyta	Moss	Diazotrophs	Diazotrophs
10	Alamgir, Kabir M.; Masuda, Sachiko; Fujitani, Yoshiko; Fukuda, Fumio; Tani, Akio	Production of ergothioneine by Methylobacterium species	FRONTIERS IN MICROBIOLOGY	2015	Bryophyta	Moss	Methylotrophs	Methylotrophs
11	Alcaraz, Luis D.; Peimbert, Mariana; Barajas, Hugo R.; Dorantes-Acosta, Ana E.; Bowman, John L.; Arteaga-Vazquez, Mario A.	Marchantia liverworts as a proxy to plants' basal microbiomes	SCIENTIFIC REPORTS	2018	Marchantiophyta	Liverwort	Other Prokaryotes	Other Prokaryotes
14	Ali, Tehane; Inagaki, Masanori; Chai, Hee-byung; Wieboldt, Thomas; Rapplye, Chad; Rakotondraibe, L. Harinantenaina	Halogenated Compounds from Directed Fermentation of Penicillium concentricum, an Endophytic Fungus of the Liverwort Trichocolea tornentella	JOURNAL OF NATURAL PRODUCTS	2017	Marchantiophyta	Liverwort	Other Fungi	Other Fungi
15	Ali, Tehane; Pham, Tiffany M.; Ju, Kou-San; Rakotondraibe, Harinantenaina L.	Ent-homocyclopiamine B, a Prenylated Indole Alkaloid of Biogenetic Interest from the Endophytic Fungus Penicillium concentricum	MOLECULES	2019	Marchantiophyta	Liverwort	Other Fungi	Other Fungi
19	Alvarenga, Danillo O; Rousk, Kathrin	Indirect effects of climate change inhibit N2 fixation associated with the feathermoss Hylocomium splendens in subarctic tundra.	The Science of the total environment	2021	Bryophyta	Moss	Diazotrophs	Diazotrophs
23	Analia Silvani, Vanesa; Paola Rothen, Carolina; Alejandra Rodriguez, Maria; Godeas, Alicia; Fracchia, Sebastian	The thalloid liverwort Plagiochasma rupestre supports arbuscular mycorrhiza-like symbiosis in vitro	WORLD JOURNAL OF MICROBIOLOGY & BIOTECHNOLOGY	2012	Marchantiophyta	Liverwort	Mucoromycota	Mucoromycota
24	Anaya-Eugenio, Gerardo D.; Ali, Tehane; Rakotondraibe, Liva Harinantenaina; de Blanco, Esperanza Carcache	Cytotoxic constituents from Penicillium concentricum, an endophytic fungus from Trichocolea tomentella	ANTI-CANCER DRUGS	2019	Marchantiophyta	Liverwort	Other Fungi	Other Fungi
33	Aschenbrenner, Ines Aline; Cernava, Tomislav; Erlacher, Armin; Berg, Gabriele; Grube, Martin	Differential sharing and distinct co-occurrence networks among spatially close bacterial microbiota of bark, mosses and lichens	MOLECULAR ECOLOGY	2017	Bryophyta	Moss	Other Prokaryotes	Other Prokaryotes
39	Bai, Fa-Yan; Chen, Xue-Ping; Huang, Ji-Zhong; Lu, Yong-Sheng; Dong, Hai-Yan; Wu, Yu-Huan; Song, Shao-Lei; Yu, Juan; Bai, Shuang; Chen, Zheng; Yang, Tian-Yu; Peng, Xue-Yi	Microbial biofilms on a giant monolithic statue of Buddha: The symbiosis of microorganisms and mosses and implications for bioweathering	INTERNATIONAL BIODETERIORATION & BIODEGRADATION	2021	Bryophyta, Marchantiophyta	Mix	Mix	Other Prokaryotes, Other Fungi
52	Baulina, OI; Gorelova, OA	Crystal-like inclusions in the symbiotic cyanobacterium Nostoc sp.	MICROBIOLOGY	1996	Marchantiophyta	Liverwort	Diazotrophs	Diazotrophs
53	Bay, Guillaume; Nahar, Nurun; Oubre, Matthieu; Whitehouse, Martin J.; Wardle, David A.; Zackrisson, Olle; Nilsson, Marie-Charlotte; Rasmussen, Ulla	Boreal feather mosses secrete chemical signals to gain nitrogen	NEW PHYTOLOGIST	2013	Bryophyta	Moss	Diazotrophs	Diazotrophs
73	Bidartondo, Martin I.; Duckett, Jeffrey G.	Conservative ecological and evolutionary patterns in liverwort-fungal symbioses	PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES	2010	Marchantiophyta	Liverwort	Other Fungi	Other Fungi
74	Bidartondo, Martin I.; Read, David J.; Trappe, James M.; Merckx, Vincent; Ligrone, Roberto; Duckett, Jeffrey G.	The dawn of symbiosis between plants and fungi	BIOLOGY LETTERS	2011	Marchantiophyta, Anthocerotophyta	Mix	Mucoromycota	Mucoromycota
75	Bidartondo, MI; Bruns, TD; Weiss, M; Sergio, C; Read, DJ	Specialized cheating of the ectomycorrhizal symbiosis by an epiparasitic liverwort	PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES	2003	Marchantiophyta	Liverwort	Other Fungi	Other Fungi
85	Bouchard, R.; Penaloza-Bojaca, G.; Toupin, S.; Guadalupe, Y.; Gudino, J.; Salazar Allen, N.; Li, F. W.; Villarreal A., J. C.	Contrasting bacteriome of the hornwortLeiosporoceros dussiiin two nearby sites with emphasis on the hornwort-cyanobacterial symbiosis	SYMBIOSIS	2020	Anthocerotophyta	Hornwort	Diazotrophs	Diazotrophs
92	Bragina, Anastasia; Berg, Christian; Cardinale, Massimiliano; Shcherbakov, Andrey; Chebotar, Vladimir; Berg, Gabriele	Sphagnum mosses harbour highly specific bacterial diversity during their whole lifecycle	ISME JOURNAL	2012	Bryophyta	Moss	Other Prokaryotes	Other Prokaryotes
93	Bragina, Anastasia; Berg, Christian; Mueller, Henry; Moser, Daniel; Berg, Gabriele	Insights into functional bacterial diversity and its effects on Alpine bog ecosystem functioning	SCIENTIFIC REPORTS	2013	Bryophyta	Moss	Mix	Diazotrophs, Methylotrophs
94	Bragina, Anastasia; Cardinale, Massimiliano; Berg, Christian; Berg, Gabriele	Vertical transmission explains the specific Burkholderia pattern in Sphagnum mosses at multi-geographic scale	FRONTIERS IN MICROBIOLOGY	2013	Bryophyta	Moss	Other Prokaryotes	Other Prokaryotes
95	Bragina, Anastasia; Oberauner-Wappis, Lisa; Zachow, Christin; Halwachs, Bettina; Thallinger, Gerhard G.; Mueller, Henry; Berg, Gabriele	The Sphagnum microbiome supports bog ecosystem functioning under extreme conditions	MOLECULAR ECOLOGY	2014	Bryophyta	Moss	Other Prokaryotes	Other Prokaryotes
113	Campbell, EL; Brahamsha, B; Meeks, JC	Mutation of an alternative sigma factor in the cyanobacterium Nostoc punctiforme results in increased infection of its symbiotic plant partner, Anthoceros punctatus	JOURNAL OF BACTERIOLOGY	1998	Anthocerotophyta	Hornwort	Diazotrophs	Diazotrophs
115	CAMPBELL, EL; MEEKS, JC	EVIDENCE FOR PLANT-MEDIATED REGULATION OF NITROGENASE EXPRESSION IN THE ANTHOCEROS-NOSTOC SYMBIOTIC ASSOCIATION	JOURNAL OF GENERAL MICROBIOLOGY	1992	Anthocerotophyta	Hornwort	Diazotrophs	Diazotrophs
116	CAMPBELL, EL; MEEKS, JC	CHARACTERISTICS OF HORMOGONIA FORMATION BY SYMBIOTIC-NOSTOC SPP IN RESPONSE TO THE PRESENCE OF ANTHOCEROS-PUNCTATUS OR ITS EXTRACELLULAR PRODUCTS	APPLIED AND ENVIRONMENTAL MICROBIOLOGY	1989	Anthocerotophyta	Hornwort	Diazotrophs	Diazotrophs
117	Campbell, EL; Wong, FCY; Meeks, JC	DNA binding properties of the HrmR protein of Nostoc punctiforme responsible for transcriptional regulation of genes involved in the differentiation of hormogonia	MOLECULAR MICROBIOLOGY	2003	Anthocerotophyta	Hornwort	Diazotrophs	Diazotrophs
122	Cao, Wei; Xiong, Yuanxin; Zhao, Degang; Tan, Hongying; Qu, Jiaojiao	Bryophytes and the symbiotic microorganisms, the pioneers of vegetation restoration in karst rocky desertification areas in southwestern China	APPLIED MICROBIOLOGY AND BIOTECHNOLOGY	2020	Bryophyta	Moss	Mix	Other Fungi, Other Prokaryotes
123	Carafa, A; Duckett, JG; Ligrone, R	Subterranean gametophytic axes in the primitive liverwort Haplomitrium harbour a unique type of endophytic association with aseptate fungi	NEW PHYTOLOGIST	2003	Marchantiophyta	Liverwort	Mucoromycota	Mucoromycota
124	Carella, Philip; Gogleva, Anna; Hoey, David John; Bridgen, Anthony John; Stolze, Sara Christina; Nakagami, Hirofumi; Schornack, Sebastian	Conserved Biochemical Defenses Underpin Host Responses to Oomycete Infection in an Early-Divergent Land Plant Lineage	CURRENT BIOLOGY	2019	Marchantiophyta	Liverwort	Protists	Protists
125	Carella, Philip; Gogleva, Anna; Tomaselli, Marta; Alfs, Carolin; Schornack, Sebastian	Phytophthora palmivora establishes tissue-specific intracellular infection structures in the earliest divergent land plant lineage	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	2018	Marchantiophyta	Liverwort	Protists	Protists
128	CARLETON, TJ; READ, DJ	ECTOMYCORRHIZAS AND NUTRIENT TRANSFER IN CONIFER FEATHER MOSS ECOSYSTEMS	CANADIAN JOURNAL OF BOTANY-REVUE CANADIENNE DE BOTANIQUE	1991	Bryophyta	Moss	Other Fungi	Other Fungi
131	Carrell, Alyssa A.; Kolton, Max; Glass, Jennifer B.; Pelletier, Dale A.; Warren, Melissa J.; Kostka, Joel E.; Iversen, Colleen M.; Hanson, Paul J.; Weston, David J.	Experimental warming alters the community composition, diversity, and N-2 fixation activity of peat moss (Sphagnum fallax) microbiomes	GLOBAL CHANGE BIOLOGY	2019	Bryophyta	Moss	Diazotrophs	Diazotrophs
140	Chambers, SM; Williams, PG; Seppelt, RD; Cairney, JWG	Molecular identification of Hymenoscyphus sp. From rhizoids of the leafy liverwort Cephaloziella exiliflora in Australia and Antarctica	MYCOLOGICAL RESEARCH	1999	Marchantiophyta	Liverwort	Other Fungi	Other Fungi
142	Chapman, Karen E.; Duggan, Paula S.; Billington (Natalie A. Joseph), Natalie A.; Adams, David G.	Mutation at different sites in the Nostoc punctiforme cyaC gene, encoding the multiple-domain enzyme adenylate cyclase, results in different levels of infection of the host plant Blasia pusilla	JOURNAL OF BACTERIOLOGY	2008	Marchantiophyta	Liverwort	Diazotrophs	Diazotrophs
144	Chen, Ko-Hsuan; Liao, Hui-Ling; Arnold, A. Elizabeth; Bonito, Gregory; Lutzoni, Francois	RNA-based analyses reveal fungal communities structured by a senescence gradient in the moss Dicranum scoparium and the presence of putative multi-trophic fungi	NEW PHYTOLOGIST	2018	Bryophyta	Moss	Other Fungi	Other Fungi
145	Chen, Ko-Hsuan; Liao, Hui-Ling; Bellenger, Jean-Philippe; Lutzoni, Francois	Differential gene expression associated with fungal trophic shifts along the senescence gradient of the moss Dicranum scoparium	ENVIRONMENTAL MICROBIOLOGY	2019	Bryophyta	Moss	Other Prokaryotes	Other Prokaryotes
157	Cohen, MF; Meeks, JC	A hormogonium regulating locus, hrmUA, of the cyanobacterium Nostoc punctiforme strain ATCC 29133 and its response to an extract of a symbiotic plant partner Anthoceros punctatus	MOLECULAR PLANT-MICROBE INTERACTIONS	1997	Anthocerotophyta	Hornwort	Diazotrophs	Diazotrophs
165	Cornejo, Carolina; Scheidegger, Christoph	Cyanobacterial gardens: the liverwort Frullania asagrayana acts as a reservoir of lichen photobionts	ENVIRONMENTAL MICROBIOLOGY REPORTS	2016	Marchantiophyta	Liverwort	Diazotrophs	Diazotrophs
166	Costa, JL; Paulsrud, P; Rikkinen, J; Lindblad, P	Genetic diversity of Nostoc symbionts endophytically associated with two bryophyte species	APPLIED AND ENVIRONMENTAL MICROBIOLOGY	2001	Anthocerotophyta, Marchantiophyta	Mix	Diazotrophs	Diazotrophs
170	Cutler, Nick A.; Arroniz-Crespo, Maria; Street, Lorna E.; Jones, David L.; Chaput, Dominique L.; DeLuca, Thomas H.	Long-Term Recovery of Microbial Communities in the Boreal Bryosphere Following Fire Disturbance	MICROBIAL ECOLOGY	2017	Bryophyta	Moss	Mix	Other Prokaryotes, Other Fungi
172	Dahl, Mathilde Borg; Krebs, Matthias; Unterseher, Martin; Urich, Tim; Gaudig, Greta	Temporal dynamics in the taxonomic and functional profile of the Sphagnum-associated fungi (mycobiomes) in a Sphagnum farming field site in Northwestern Germany	FEMS MICROBIOLOGY ECOLOGY	2020	Bryophyta	Moss	Other Fungi	Other Fungi
177	Davey, M. L.; Nybakken, L.; Kauserud, H.; Ohlson, M.	Fungal biomass associated with the phyllosphere of bryophytes and vascular plants	MYCOLOGICAL RESEARCH	2009	Bryophyta	Moss	Other Fungi	Other Fungi
179	Davey, Marie L.; Currah, Randolph S.	A new species of Cladophialophora (hyphomycetes) from boreal and montane bryophytes	MYCOLOGICAL RESEARCH	2007	Bryophyta	Moss	Other Fungi	Other Fungi
180	Davey, Marie L.; Heegaard, Einar; Halvorsen, Rune; Kauserud, Havard; Ohlson, Mikael	Amplicon-pyrosequencing-based detection of compositional shifts in bryophyte-associated fungal communities along an elevation gradient	MOLECULAR ECOLOGY	2013	Bryophyta	Moss	Other Fungi	Other Fungi
181	Davey, Marie L.; Heimdal, Rune; Ohlson, Mikael; Kauserud, Havard	Host- and tissue-specificity of moss-associated Galerina and Mycena determined from amplicon pyrosequencing data	FUNGAL ECOLOGY	2013	Bryophyta	Moss	Other Fungi	Other Fungi
182	Davis, E. Christine; Shaw, A. Jonathan	Biogeographic and phylogenetic patterns in diversity of liverwort-associated endophytes	AMERICAN JOURNAL OF BOTANY	2008	Marchantiophyta	Liverwort	Other Fungi	Other Fungi
183	Davis, EC; Franklin, JB; Shaw, AJ; Vilgalys, R	Endophytic Xylaria (Xylariaceae) among liverworts and angiosperms: Phylogenetics, distribution, and symbiosis	AMERICAN JOURNAL OF BOTANY	2003	Marchantiophyta	Liverwort	Other Fungi	Other Fungi
184	Day, Melissa J.; Currah, Randolph S.	Role of selected dark septate endophyte species and other hyphomycetes as saprobes on moss gametophytes	BOTANY	2011	Bryophyta	Moss	Other Fungi	Other Fungi
185	de Carvalho, Camila Rodrigues; Ferreira, Mariana Costa; Goncalves, Vivian Nicolau; de Oliveira Santos, Ana Raquel; Carvalho-Silva, Michelline; Aguiar Saraiva Camara, Paulo Eduardo; Rosa, Carlos Augusto; Rosa, Luiz Henrique	Cultivable fungi associated with bryosphere of bipolar mosses Polytrichastrum alpinum and Polytrichum juniperinum in King George Island, South Shetland Islands, Maritime Antarctica	POLAR BIOLOGY	2020	Bryophyta	Moss	Other Fungi	Other Fungi
192	Deane-Coe, Kirsten K.; Sparks, Jed P.	Cyanobacteria associations in temperate forest bryophytes revealed by delta N-15 analysis	JOURNAL OF THE TORREY BOTANICAL SOCIETY	2016	Marchantiophyta, Bryophyta	Mix	Diazotrophs	Diazotrophs
193	Decker, Eva L.; Alder, Adrian; Hunn, Stefan; Ferguson, Jenny; Lehtonen, Mikko T.; Scheler, Bjoern; Kerres, Klaus L.; Wiedemann, Gertrud; Safavi-Rizi, Vajiheh; Nordzieke, Steffen; Balakrishna, Aparna; Baz, Lina; Avalos, Javier; Valkonen, Jari P. T.; Reski, Ralf; Al-Babili, Salim	Strigolactone biosynthesis is evolutionarily conserved, regulated by phosphate starvation and contributes to resistance against phytopathogenic fungi in a moss, Physcomitrella patens	NEW PHYTOLOGIST	2017	Bryophyta	Moss	Other Fungi	Other Fungi
198	Delaux, Pierre-Marc; Xie, Xiaonan; Timme, Ruth E.; Puech-Pages, Virginie; Dunand, Christophe; Lecompte, Emilie; Delwiche, Charles F.; Yoneyama, Koichi; Becard, Guillaume; Sejalon-Delmas, Nathalie	Origin of strigolactones in the green lineage	NEW PHYTOLOGIST	2012	Marchantiophyta, Bryophyta	Mix	Mucoromycota	Mucoromycota
201	DeLuca, TH; Zackrisson, O; Nilsson, MC; Sellstedt, A	Quantifying nitrogen-fixation in feather moss carpets of boreal forests	NATURE	2002	Bryophyta	Moss	Diazotrophs	Diazotrophs
204	Desiro, Alessandro; Duckett, Jeffrey G.; Pressel, Silvia; Villarreal, Juan Carlos; Bidartondo, Martin I.	Fungal symbioses in hornworts: a chequered history	PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES	2013	Anthocerotophyta	Hornwort	Mucoromycota	Mucoromycota
205	Desiro, Alessandro; Naumann, Maria; Epis, Sara; Novero, Mara; Bandi, Claudio; Genre, Andrea; Bonfante, Paola	Mollicutes-related endobacteria thrive inside liverwort-associated arbuscular mycorrhizal fungi	ENVIRONMENTAL MICROBIOLOGY	2013	Marchantiophyta	Liverwort	Mix	Mucoromycota, Other Prokaryotes
215	Duckett, Jeffrey G.; Carafa, Anna; Ligrone, Roberto	A highly differentiated glomeromycotean association with the mucilage-secreting, primitive antipodean liverwort Treubia (Treubiaceae): Clues to the origins of mycorrhizas	AMERICAN JOURNAL OF BOTANY	2006	Marchantiophyta	Liverwort	Mucoromycota	Mucoromycota
216	Duckett, Jeffrey G.; Ligrone, Roberto	Basidiomycetous endophytes in New Zealand Aneuraceae (simple thalloid liverworts, Metzgeriidae) and the derived status of the monotypic genus Verdoornia	BOTANY	2008	Marchantiophyta	Liverwort	Other Fungi	Other Fungi
217	Duckett, Jeffrey G.; Russell, Julia; Ligrone, Roberto	Basidiomycetous endophytes in jungermannialean (leafy) liverworts have novel cytology and species-specific host ranges: a cytological and experimental study	CANADIAN JOURNAL OF BOTANY-REVUE CANADIENNE DE BOTANIQUE	2006	Marchantiophyta	Liverwort	Other Fungi	Other Fungi
220	DUCKETT, JG; READ, DJ	ERICOID MYCORRHIZAS AND RHIZOID-ASCOMYCETE ASSOCIATIONS IN LIVERWORTS SHARE THE SAME MYCOBIONT - ISOLATION OF THE PARTNERS AND RESYNTHESIS OF THE ASSOCIATIONS IN-VITRO	NEW PHYTOLOGIST	1995	Marchantiophyta	Liverwort	Other Fungi	Other Fungi
222	DUCKETT, JG; RENZAGLIA, KS; PELL, K	DESICCATION CAUSES THE PROLIFERATION OF MULTICELLULAR HAIRS, BUT NOT MUCILAGE PAPILLAE, IN CRYPTOTHALLUS-MIRABILIS (HEPATOPHYTA) - A CORRELATED LIGHT AND ELECTRON-MICROSCOPE STUDY	CANADIAN JOURNAL OF BOTANY-REVUE CANADIENNE DE BOTANIQUE	1990	Marchantiophyta	Liverwort	Other Fungi	Other Fungi
223	DUCKETT, JG; RENZAGLIA, KS; PELL, K	A LIGHT AND ELECTRON-MICROSCOPE STUDY OF RHIZOID ASCOMYCETE ASSOCIATIONS AND FLAGELLIFORM AXES IN BRITISH HEPATICS WITH OBSERVATIONS ON THE EFFECTS OF THE FUNGI ON HOST MORPHOLOGY	NEW PHYTOLOGIST	1991	Marchantiophyta	Liverwort	Other Fungi	Other Fungi
225	Duggan, Paula S.; Thiel, Teresa; Adams, David G.	Symbiosis between the cyanobacterium Nostoc and the liverwort Blasia requires a CheR-type MCP methyltransferase	SYMBIOSIS	2013	Marchantiophyta	Liverwort	Diazotrophs	Diazotrophs
228	Ekman, Martin; Picossi, Silvia; Campbell, Elsie L.; Meeks, John C.; Flores, Enrique	A Nostoc punctiforme Sugar Transporter Necessary to Establish a Cyanobacterium-Plant Symbiosis	PLANT PHYSIOLOGY	2013	Anthocerotophyta	Hornwort	Diazotrophs	Diazotrophs
234	Enderlin, C S; Meeks, J C	Pure culture and reconstitution of the Anthoceros-Nostoc symbiotic association.	Planta	1983	Anthocerotophyta	Hornwort	Diazotrophs	Diazotrophs
245	Feng, Jia; Guo, Yuning; Zhang, Xiujuan; Wang, Guihua; Lv, Junping; Liu, Qi; Xie, Shulian	Identification and characterization of a symbiotic alga from soil bryophyte for lipid profiles	BIOLOGY OPEN	2016	Bryophyta	Moss	Protists	Protists
246	Feng, Jia; Zhang, Xiujuan; Wang, Guihua; Xie, Shulian	Morphology and phylogenetic relationships of the chrysophytes associated with two mosses	SYMBIOSIS	2016	Bryophyta	Moss	Protists	Protists
248	Field, Katie J.; Bidartondo, Martin, I; Rimington, William R.; Hoysted, Grace A.; Beerling, David J.; Cameron, Duncan D.; Duckett, Jeffrey G.; Leake, Jonathan R.; Pressel, Silvia	Functional complementarity of ancient plant-fungal mutualisms: contrasting nitrogen, phosphorus and carbon exchanges between Mucoromycotina and Glomeromycotina fungal symbionts of liverworts	NEW PHYTOLOGIST	2019	Marchantiophyta	Liverwort	Mucoromycota	Mucoromycota
249	Field, Katie J.; Cameron, Duncan D.; Leake, Jonathan R.; Tille, Stefanie; Bidartondo, Martin I.; Beerling, David J.	Contrasting arbuscular mycorrhizal responses of vascular and non-vascular plants to a simulated Palaeozoic CO2 decline	NATURE COMMUNICATIONS	2012	Marchantiophyta	Liverwort	Other Fungi	Other Fungi
252	Field, Katie J.; Rimington, William R.; Bidartondo, Martin I.; Allinson, Kate E.; Beerling, David J.; Cameron, Duncan D.; Duckett, Jeffrey G.; Leake, Jonathan R.; Pressel, Silvia	Functional analysis of liverworts in dual symbiosis with Glomeromycota and Mucoromycotina fungi under a simulated Palaeozoic CO2 decline	ISME JOURNAL	2016	Marchantiophyta	Liverwort	Mucoromycota	Mucoromycota
253	Field, Katie J.; Rimington, William R.; Bidartondo, Martin I.; Allinson, Kate E.; Beerling, David J.; Cameron, Duncan D.; Duckett, Jeffrey G.; Leake, Jonathan R.; Pressel, Silvia	First evidence of mutualism between ancient plant lineages (Haplomitriopsida liverworts) and Mucoromycotina fungi and its response to simulated Palaeozoic changes in atmospheric CO2	NEW PHYTOLOGIST	2015	Marchantiophyta	Liverwort	Mucoromycota	Mucoromycota
258	Fonseca, Henrique M. A. C.; Berbara, Ricardo L. L.	Does Lunularia cruciata form symbiotic relationships with either Glomus proliferum or G-intraradices?	MYCOLOGICAL RESEARCH	2008	Marchantiophyta	Liverwort	Mucoromycota	Mucoromycota
259	Fonseca, Henrique M. A. C.; Berbara, Ricardo L. L.; Pereira, Maria L.	Monoxenic cultures of light sensitive arbuscular mycorrhizal fungi with Lunularia cruciata (Marchantiopsida)	NOVA HEDWIGIA	2014	Marchantiophyta	Liverwort	Mucoromycota	Mucoromycota
260	Fonseca, Henrique M. A. C.; Berbara, Ricardo L. L.; Pereira, Maria L.	Lunularia cruciata, a potential in vitro host for Glomus proliferum and G-intraradices	MYCORRHIZA	2006	Marchantiophyta	Liverwort	Mucoromycota	Mucoromycota
261	Fonseca, Henrique M. A. C.; Ferreira, Joana I. L.; Berbara, Ricardo L. L.; Zatorre, Natalia P.	DOMINANCE OF PARIS-TYPE MORPHOLOGY ON MYCOTHALLUS OF LUNULARIA CRUCIATA COLONISED BY GLOMUS PROLIFERUM	BRAZILIAN JOURNAL OF MICROBIOLOGY	2009	Marchantiophyta	Liverwort	Mucoromycota	Mucoromycota
268	Fukasawa, Yu; Ando, Yoko; Song, Zewei	Comparison of fungal communities associated with spruce seedling roots and bryophyte carpets on logs in an old-growth subalpine coniferous forest in Japan	FUNGAL ECOLOGY	2017	Bryophyta, Marchantiophyta	Mix	Other Fungi	Other Fungi
274	Gao, Yong-Han; Bai, Wei-Xiao; Sun, Wei-Hong; Zhou, Wen-Na; Wu, Guang-Li; Zhu, Zheng-Qing; Ma, Jia-Yun; Li, Hai-Yan	Diversity of Culturable Endophytic Fungi Associated with Bryophytes, Pteridophytes and Spermatophytes from Dawei Mountain Nature Reserve, China	CHIANG MAI JOURNAL OF SCIENCE	2019	Bryophyta, Marchantiophyta	Mix	Other Fungi	Other Fungi
284	Gentili, F; Nilsson, MC; Zackrisson, O; DeLuca, TH; Sellstedt, A	Physiological and molecular diversity of feather moss associative N-2-fixing cyanobacteria	JOURNAL OF EXPERIMENTAL BOTANY	2005	Bryophyta	Moss	Diazotrophs	Diazotrophs
292	Golovchenko, V.; Bogdanova, O. Yu.; Stepanov, A. L.; Zvyagintsev, D. G.	The impact of mechanical comminution of sphagnum on the abundance, structure, and activity of microbial complexes	EURASIAN SOIL SCIENCE	2014	Bryophyta	Moss	Mix	Other Prokaryotes, Other Fungi
295	Gorelova, OA; Baulina, OI; Shchelmanova, AG; Korzhenevskaya, TG; Gusev, MV	Heteromorphism of the cyanobacterium Nostoc sp, a microsymbiont of the Blasia pusilla moss	MICROBIOLOGY	1996	Marchantiophyta	Liverwort	Diazotrophs	Diazotrophs
298	Graham, Linda E.; Graham, James M.; Knack, Jennifer J.; Trest, Marie T.; Piotrowski, Michael J.; Arancibia-Avila, Patricia	A Sub-Antarctic Peat Moss Metagenome Indicates Microbiome Resilience to Stress and Biogeochemical Functions of Early Paleozoic Terrestrial Ecosystems	INTERNATIONAL JOURNAL OF PLANT SCIENCES	2017	Bryophyta	Moss	Mix	Metagenome
316	Guo, Guan Nan; Zhou, Xun; Zhao, Ran; Chen, Xin Yao; Chen, Zhi Ling; Li, Xue Dong; Li, Yan Hong	Paenibacillus herberti sp nov., an endophyte isolated from Herbertus sendtneri	ANTONIE VAN LEEUWENHOEK INTERNATIONAL JOURNAL OF GENERAL AND MOLECULAR MICROBIOLOGY	2015	Marchantiophyta	Liverwort	Other Prokaryotes	Other Prokaryotes
317	Guo, Lei; Wu, Jin-Zhong; Han, Ting; Cao, Tong; Rahman, Khalid; Qin, Lu-Ping	Chemical composition, antifungal and antitumor properties of ether extracts of Scapania verrucosa Heeg. and its endophytic fungus Chaetomium fusiforme	MOLECULES	2008	Marchantiophyta	Liverwort	Other Fungi	Other Fungi
322	Halsor, Marie-Josee H.; Liaimer, Anton; Pandur, Seila; Raeder, Inger L. U.; Smalas, Arne O.; Altermark, Bjorn	Draft Genome Sequence of the Symbiotically Competent Cyanobacterium Nostoc sp. Strain KVJ20	MICROBIOLOGY RESOURCE ANNOUNCEMENTS	2019	Marchantiophyta	Liverwort	Diazotrophs	Diazotrophs
323	Hamard, Samuel; Robroek, Bjorn J. M.; Allard, Pierre-Marie; Signarbieux, Constant; Zhou, Shuaizhen; Saesong, Tongchai; de Baaker, Flore; Buttler, Alexandre; Chiapusio, Genevieve; Wolfender, Jean-Luc; Bragazza, Luca; Jassey, Vincent E. J.	Effects of Sphagnum Leachate on Competitive Sphagnum Microbiome Depend on Species and Time	FRONTIERS IN MICROBIOLOGY	2019	Bryophyta	Moss	Mix	Other Prokaryotes, Other Fungi
336	Hirose, Dai; Hobara, Satoru; Matsuoka, Shunsuke; Kato, Kengo; Tanabe, Yukiko; Uchida, Masaki; Kudoh, Sakae; Osono, Takashi	Diversity and community assembly of moss-associated fungi in ice-free coastal outcrops of continental Antarctica	FUNGAL ECOLOGY	2016	Bryophyta	Moss	Other Fungi	Other Fungi
337	Hirose, Dai; Hobara, Satoru; Tanabe, Yukiko; Uchida, Masaki; Kudoh, Sakae; Osono, Takashi	Abundance, richness, and succession of microfungi in relation to chemical changes in Antarctic moss profiles	POLAR BIOLOGY	2017	Bryophyta	Moss	Other Fungi	Other Fungi
342	Holland-Moritz, Hannah; Stuart, Julia E. M.; Lewis, Lily R.; Miller, Samantha N.; Mack, Michelle C.; Ponciano, Jose Miguel; McDaniel, Stuart F.; Fierer, Noah	The bacterial communities of Alaskan mosses and their contributions to N-2-fixation	MICROBIOME	2021	Bryophyta, Marchantiophyta	Mix	Diazotrophs	Diazotrophs
343	Holland-Moritz, Hannah; Stuart, Julia; Lewis, Lily R.; Miller, Samantha; Mack, Michelle C.; McDaniel, Stuart F.; Fierer, Noah	Novel bacterial lineages associated with boreal moss species	ENVIRONMENTAL MICROBIOLOGY	2018	Bryophyta	Moss	Other Prokaryotes	Other Prokaryotes
347	Hornschuh, M.; Grotha, R.; Kutschera, U.	Moss-associated methylobacteria as phytosymbionts: an experimental study	NATURWISSENSCHAFTEN	2006	Bryophyta	Moss	Methylotrophs	Methylotrophs
