Orignal article #	Authors	Title	Journal	Year	Division	Bryophyte Type	Symbiont Type	Symbiont Code
823	Sytiuk, Anna; Cereghino, Regis; Hamard, Samuel; Delarue, Frederic; Guittet, Amelie; Barel, Janna M.; Dorrepaal, Ellen; Kuttim, Martin; Lamentowicz, Mariusz; Pourrut, Bertrand; Robroek, Bjorn J. M.; Tuittila, Eeva-Stiina; Jassey, Vincent E. J.	Predicting the structure and functions of peatland microbial communities from Sphagnum phylogeny, anatomical and morphological traits and metabolites	JOURNAL OF ECOLOGY	2021	Bryophyta	Moss	Mix	Other Fungi, Other Prokaryotes, Protists
824	Szentes, Sarolta; Radu, Gabriel-Lucian; Laslo, Eva; Lanyi, Szabolcs; Mara, Gyoengyver	Selection and evaluation of potential biocontrol rhizobacteria from a raised bog environment	CROP PROTECTION	2013	Bryophyta	Moss	Other Prokaryotes	Other Prokaryotes
826	Taffner, Julian; Erlacher, Armin; Bragina, Anastasia; Berg, Christian; Moissl-Eichinger, Christine; Berg, Gabriele	What Is the Role of Archaea in Plants? New Insights from the Vegetation of Alpine Bogs	MSPHERE	2018	Bryophyta, Marchantiophyta	Mix	Other Prokaryotes	Other Prokaryotes
830	Tamura, Mako; Tanabe, Minatsu; Valkonen, Jari P. T.; Akita, Motomu	Sunagoke Moss (Racomitrium japonicum) Used for Greening Roofs Is Severely Damaged by Sclerotium delphinii and Protected by a Putative Bacillus amyloliquefaciens Isolate	FRONTIERS IN MICROBIOLOGY	2019	Bryophyta	Moss	Mix	Other Fungi, Other Prokaryotes
832	Tani, Akio; Akita, Motomu; Murase, Haruhiko; Kimbara, Kazuhide	Culturable bacteria in hydroponic cultures of moss Racomitrium japonicum and their potential as biofertilizers for moss production	JOURNAL OF BIOSCIENCE AND BIOENGINEERING	2011	Bryophyta	Moss	Mix	Other Prokaryotes, Other Fungi
833	Tani, Akio; Takai, Yuichiro; Suzukawa, Ikko; Akita, Motomu; Murase, Haruhiko; Kimbara, Kazuhide	Practical Application of Methanol-Mediated Mutualistic Symbiosis between Methylobacterium Species and a Roof Greening Moss, Racomitrium	PLOS ONE	2012	Bryophyta	Moss	Methylotrophs	Methylotrophs
843	Tian, Wen; Wang, Hongmei; Xiang, Xing; Wang, Ruicheng; Xu, Ying	Structural Variations of Bacterial Community Driven by Sphagnum Microhabitat Differentiation in a Subalpine Peatland	FRONTIERS IN MICROBIOLOGY	2019	Bryophyta	Moss	Other Prokaryotes	Other Prokaryotes
844	Tian, Wen; Xiang, Xing; Ma, Liyuan; Evers, Stephanie; Wang, Ruicheng; Xuan, Qiu; Wang, Hongmei	Rare Species Shift the Structure of Bacterial Communities Across Sphagnum Compartments in a Subalpine Peatland	FRONTIERS IN MICROBIOLOGY	2020	Bryophyta	Moss	Other Prokaryotes	Other Prokaryotes
853	Turnau, K; Ronikier, M; Unrug, J	Role of mycorrhizal links between plants in establishment of liverworts thalli in natural habitats	ACTA SOCIETATIS BOTANICORUM POLONIAE	1999	Marchantiophyta	Liverwort	Mix	Mucoromycota, Protists
854	Tveit, Alexander Tosdal; Kiss, Andrea; Winkel, Matthias; Horn, Fabian; Hajek, Tomas; Svenning, Mette Marianne; Wagner, Dirk; Liebner, Susanne	Environmental patterns of brown moss- and Sphagnum-associated microbial communities	SCIENTIFIC REPORTS	2020	Bryophyta	Moss	Other Prokaryotes	Other Prokaryotes
860	Upson, R.; Read, D. J.; Newsham, K. K.	Widespread association between the ericoid mycorrhizal fungus Rhizoscyphus ericae and a leafy liverwort in the maritime and sub-Antarctic	NEW PHYTOLOGIST	2007	Marchantiophyta	Liverwort	Other Fungi	Other Fungi
863	U'Ren, Jana M.; Lutzoni, Francois; Miadlikowska, Jolanta; Arnold, A. Elizabeth	Community Analysis Reveals Close Affinities Between Endophytic and Endolichenic Fungi in Mosses and Lichens	MICROBIAL ECOLOGY	2010	Bryophyta	Moss	Other Fungi	Other Fungi
864	U'Ren, Jana M.; Lutzoni, Francois; Miadlikowska, Jolanta; Laetsch, Alexander D.; Arnold, A. Elizabeth	HOST AND GEOGRAPHIC STRUCTURE OF ENDOPHYTIC AND ENDOLICHENIC FUNGI AT A CONTINENTAL SCALE	AMERICAN JOURNAL OF BOTANY	2012	Bryophyta	Moss	Other Fungi	Other Fungi
865	U'Ren, Jana M.; Riddle, Jakob M.; Monacell, James T.; Carbone, Ignazio; Miadlikowska, Jolanta; Arnold, A. Elizabeth	Tissue storage and primer selection influence pyrosequencing-based inferences of diversity and community composition of endolichenic and endophytic fungi	MOLECULAR ECOLOGY RESOURCES	2014	Bryophyta	Moss	Other Fungi	Other Fungi
866	VAGNOLI, L; MARGHERI, MC; ALLOTTA, G; MATERASSI, R	MORPHOLOGICAL AND PHYSIOLOGICAL-PROPERTIES OF SYMBIOTIC CYANOBACTERIA	NEW PHYTOLOGIST	1992	Anthocerotophyta	Hornwort	Diazotrophs	Diazotrophs
867	van den Elzen, Eva; Bengtsson, Fia; Fritz, Christian; Rydin, Hakan; Lamers, Leon P. M.	Variation in symbiotic N-2 fixation rates among Sphagnum mosses	PLOS ONE	2020	Bryophyta	Moss	Diazotrophs	Diazotrophs
868	van den Elzen, Eva; Kox, Martine A. R.; Harpenslager, Sarah F.; Hensgens, Geert; Fritz, Christian; Jetten, Mike S. M.; Ettwig, Katharina F.; Lamers, Leon P. M.	Symbiosis revisited: phosphorus and acid buffering stimulate N-2 fixation but not Sphagnum growth	BIOGEOSCIENCES	2017	Bryophyta	Moss	Diazotrophs	Diazotrophs
869	van den Elzen, Eva; van den Berg, Leon J. L.; van der Weijden, Bas; Fritz, Christian; Sheppard, Lucy J.; Lamers, Leon P. M.	Effects of airborne ammonium and nitrate pollution strongly differ in peat bogs, but symbiotic nitrogen fixation remains unaffected	SCIENCE OF THE TOTAL ENVIRONMENT	2018	Bryophyta	Moss	Diazotrophs	Diazotrophs
873	van Winden, Julia F.; Reichart, Gert-Jan; McNamara, Niall P.; Benthien, Albert; Damste, Jaap S. Sinninghe	Temperature-Induced Increase in Methane Release from Peat Bogs: A Mesocosm Experiment	PLOS ONE	2012	Bryophyta	Moss	Methylotrophs	Methylotrophs
874	van Winden, Julia F.; Talbot, Helen M.; Reichart, Gert-Jan; McNamara, Niall P.; Benthien, Albert; Damste, Jaap S. Sinninghe	Influence of temperature on the delta C-13 values and distribution of methanotroph-related hopanoids inSphagnum-dominated peat bogs	GEOBIOLOGY	2020	Bryophyta	Moss	Methylotrophs	Methylotrophs
880	Velickovic, Dusan; Chu, Rosalie K.; Carrell, Alyssa A.; Thomas, Mathew; Pasa-Tolic, Ljiljana; Weston, David J.; Anderton, Christopher R.	Multimodal MSI in Conjunction with Broad Coverage Spatially Resolved MS2 Increases Confidence in Both Molecular Identification and Localization	ANALYTICAL CHEMISTRY	2018	Bryophyta	Moss	Mix	Diazotrophs, Other fungi
882	Vesty, Eleanor F.; Whitbread, Amy L.; Needs, Sarah; Tanko, Wesal; Jones, Kirsty; Halliday, Nigel; Ghaderiardakani, Fatemeh; Liu, Xiaoguang; Camara, Miguel; Coates, Juliet C.	Cross-kingdom signalling regulates spore germination in the moss Physcomitrella patens	SCIENTIFIC REPORTS	2020	Bryophyta	Moss	Other Prokaryotes	Other Prokaryotes
883	Vile, Melanie A.; Wieder, R. Kelman; Zivkovic, Tatjana; Scott, Kimberli D.; Vitt, Dale H.; Hartsock, Jeremy A.; Iosue, Christine L.; Quinn, James C.; Petix, Meaghan; Fillingim, Hope M.; Popma, Jacqueline M. A.; Dynarski, Katherine A.; Jackman, Todd R.; Albright, Cara M.; Wykoff, Dennis D.	N-2-fixation by methanotrophs sustains carbon and nitrogen accumulation in pristine peatlands	BIOGEOCHEMISTRY	2014	Bryophyta	Moss	Diazotrophs	Diazotrophs
886	Villarreal, JC; Renzaglia, KS	Structure and development of Nostoc strands in Leiosporoceros dussii (Anthocerotophyta): A novel symbiosis in land plants	AMERICAN JOURNAL OF BOTANY	2006	Anthocerotophyta	Hornwort	Diazotrophs	Diazotrophs
899	Wang, Bin; Yeun, Li Huey; Xue, Jia-Yu; Liu, Yang; Ane, Jean-Michel; Qiu, Yin-Long	Presence of three mycorrhizal genes in the common ancestor of land plants suggests a key role of mycorrhizas in the colonization of land by plants	NEW PHYTOLOGIST	2010	Anthocerotophyta, Bryophyta, Marchantiophyta	Mix	Mucoromycota	Mucoromycota
902	Wang, Ning-Ning; Liu, Chun-Yu; Wang, Tian; Li, Yue-Lan; Xu, Ke; Lou, Hong-Xiang	Two New Quinazoline Derivatives from the Moss Endophytic Fungus Aspergillus sp. and Their Anti-inflammatory Activity	NATURAL PRODUCTS AND BIOPROSPECTING	2021	Marchantiophyta	Liverwort	Other Fungi	Other Fungi
905	Wang, Xiao-Ning; Bashyal, Bharat P.; Wijeratne, E. M. Kithsiri; U'Ren, Jana M.; Liu, Manping X.; Gunatilaka, Malkanthi K.; Arnold, A. Elizabeth; Gunatilaka, A. A. Leslie	Smardaesidins A-G, Isopimarane and 20-nor-Isopimarane Diterpenoids from Smardaea sp., a Fungal Endophyte of the Moss Ceratodon purpureus	JOURNAL OF NATURAL PRODUCTS	2011	Bryophyta	Moss	Other Fungi	Other Fungi
912	Warshan, Denis; Bay, Guillaume; Nahar, Nurun; Wardle, David A.; Nilsson, Marie-Charlotte; Rasmussen, Ulla	Seasonal variation in nifH abundance and expression of cyanobacterial communities associated with boreal feather mosses	ISME JOURNAL	2016	Bryophyta	Moss	Diazotrophs	Diazotrophs
913	Warshan, Denis; Espinoza, Josh L.; Stuart, Rhona K.; Richter, R. Alexander; Kim, Sea-Yong; Shapiro, Nicole; Woyke, Tanja; Kyrpides, Nikos C.; Barry, Kerrie; Singan, Vasanth; Lindquist, Erika; Ansong, Charles; Purvine, Samuel O.; Brewer, Heather M.; Weyman, Philip D.; Dupont, Christopher L.; Rasmussen, Ulla	Feathermoss and epiphytic Nostoc cooperate differently: expanding the spectrum of plant-cyanobacteria symbiosis	ISME JOURNAL	2017	Bryophyta	Moss	Diazotrophs	Diazotrophs
914	Warshan, Denis; Liaimer, Anton; Pederson, Eric; Kim, Sea-Yong; Shapiro, Nicole; Woyke, Tanja; Altermark, Bjorn; Pawlowski, Katharina; Weyman, Philip D.; Dupont, Christopher L.; Rasmussen, Ulla	Genomic Changes Associated With the Evolutionary Transitions of Nostoc to a Plant Symtiont	MOLECULAR BIOLOGY AND EVOLUTION	2018	Marchantiophyta, Bryophyta	Mix	Diazotrophs	Diazotrophs
918	Wei, Han; Xu, Ya-ming; Espinosa-Artiles, Patricia; Liu, Manping X.; Luo, Jiang-Guang; U'Ren, Jana M.; Arnold, A. Elizabeth; Gunatilaka, A. A. Leslie	Sesquiterpenes and other constituents of Xylaria sp NC1214, a fungal endophyte of the moss Hypnum sp.	PHYTOCHEMISTRY	2015	Bryophyta	Moss	Other Fungi	Other Fungi
919	Weiss, Michael; Sykorova, Zuzana; Garnica, Sigisfredo; Riess, Kai; Martos, Florent; Krause, Cornelia; Oberwinkler, Franz; Bauer, Robert; Redecker, Dirk	Sebacinales Everywhere: Previously Overlooked Ubiquitous Fungal Endophytes	PLOS ONE	2011	Marchantiophyta	Liverwort	Other Fungi	Other Fungi
922	West, NJ; Adams, DG	Phenotypic and genotypic comparison of symbiotic and free-living cyanobacteria from a single field site	APPLIED AND ENVIRONMENTAL MICROBIOLOGY	1997	Anthocerotophyta	Hornwort	Diazotrophs	Diazotrophs
935	WILLIAMS, PG; ROSER, DJ; SEPPELT, RD	MYCORRHIZAS OF HEPATICS IN CONTINENTAL ANTARCTICA	MYCOLOGICAL RESEARCH	1994	Bryophyta, Marchantiophyta	Mix	Other Fungi	Other Fungi
939	Wong, FCY; Meeks, JC	Establishment of a functional symbiosis between the cyanobacterium Nostoc punctiforme and the bryophyte Anthoceros punctatus requires genes involved in nitrogen control and initiation of heterocyst differentiation	MICROBIOLOGY-SGM	2002	Anthocerotophyta	Hornwort	Diazotrophs	Diazotrophs
947	Xie, Fei; Li, Xiao-Bin; Zhou, Jin-Chuan; Xu, Qing-Qing; Wang, Xiao-Ning; Yuan, Hui-Qing; Lou, Hong-Xiang	Secondary Metabolites from Aspergillus fumigatus, an Endophytic Fungus from the Liverwort Heteroscyphus tener (STEPH.) SCHIFFN (vol 12, pg 1313, 2015)	CHEMISTRY & BIODIVERSITY	2015	Marchantiophyta	Liverwort	Other Fungi	Other Fungi
952	Yamamoto, Kohei; Shimamura, Masaki; Degawa, Yousuke; Yamada, Akiyoshi	Dual colonization of Mucoromycotina and Glomeromycotina fungi in the basal liverwort, Haplomitrium mnioides (Haplomitriopsida)	JOURNAL OF PLANT RESEARCH	2019	Marchantiophyta	Liverwort	Mucoromycota	Mucoromycota
953	Yamazaki, Yusuke; Tojo, Motoaki; Hoshino, Tamotsu; Kida, Kenichi; Sakamoto, Tatsuji; Ihara, Hideshi; Yumoto, Isao; Tronsmo, Anne Marte; Kanda, Hiroshi	Characterization of Trichoderma polysporum from Spitsbergen, Svalbard archipelago, Norway, with species identity, pathogenicity to moss, and polygalacturonase activity	FUNGAL ECOLOGY	2011	Bryophyta	Moss	Other Fungi	Other Fungi
